id,obra,lugar,tipo,región,zona,continente,lat,lng,autor,composición,publicación,Libro
https://www.geonames.org/3104324,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,Zaragoza,ciudad,Aragón,España,Europa,41.65606,-0.87734,Lope de Vega,1607-1608,1612,Parte III de las comedias de Lope de Vega
https://www.geonames.org/3108126,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,Teruel,ciudad,Aragón,España,Europa,40.3456,-1.10646,Lope de Vega,1607-1608,1612,Parte III de las comedias de Lope de Vega
https://www.geonames.org/3372516,Las mudanzas de fortuna y sucesos de don Beltrán de Aragón,Toledo,ciudad,Castilla,España,Europa,39.8581,-4.02263,Lope de Vega,1607-1608,1612,Parte III de las comedias de Lope de Vega
