id,obra,menciones,lugar,tipo,región,zona,continente,lat,lng,autor,composición,publicación,Libro
https://www.geonames.org/2887835,La hermosa Alfreda,16,Cleves,ciudad,Alemania,,Europa,51.78826,6.13865,Lope de Vega, 1598-1600,1618,Parte novena de las comedias de Lope de Vega
https://pleiades.stoa.org/places/197240,La hermosa Alfreda,3,Dalmacia,región,,,Europa,43.539561,16.483426,Lope de Vega, 1598-1600,1618,Parte novena de las comedias de Lope de Vega
https://www.geonames.org/2638360,La hermosa Alfreda,1,Escocia,país,Gran Bretaña,,Europa,56,-4,Lope de Vega, 1598-1600,1618,Parte novena de las comedias de Lope de Vega
https://www.geonames.org/146669,La hermosa Alfreda,1,Chipre,país,,Grecia antigua,Europa,35,33,Lope de Vega, 1598-1600,1618,Parte novena de las comedias de Lope de Vega
https://www.geonames.org/2542007,La hermosa Alfreda,1,Marruecos,país,,,África,28.5,-10,Lope de Vega, 1598-1600,1618,Parte novena de las comedias de Lope de Vega
